#-------------------------------------------
# Food Diary Report - Detailed Report,"среда, мая 20, 2026"
#-------------------------------------------

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"среда, мая 20, 2026",1654,"46,86","22,883","204,15","14,68","47,28","105,93",1990,159,1858
 Завтрак,804,"26,66","13,8","97,72","8,1","38,74","47,88",872,34,937
  Carrefour Medialuna de Manteca,194,"10,95","5,4",21,0,,3,81,,
   1 1/2 x 1 unidad (60 г)
  Dicomere Quinoa Pop,119,"1,9","0,12",21,"1,9",0,"4,4",22,,
"   1/2 taza, 30 г"
  La Serenísima Yogurisimo Griego Natural sin Endulzar,82,"3,15","1,8",7,0,"5,75","6,5",84,,
   1/2 x 1 porción (100 г)
  Манго,80,"0,33","0,081","20,91","2,2","18,2","0,63",2,0,192
   123 г
  Папайя,87,"0,31","0,095","21,78",4,"13,1","1,35",7,0,571
   222 г
  Творог 5%,242,"10,02","6,304","6,03",0,"1,69",32,676,34,174
   200 г
 Обед,450,"16,49","8,463","47,83","4,1","7,52","27,91",1003,65,666
  Лазанья с Мясом и Шпинатом,450,"16,49","8,463","47,83","4,1","7,52","27,91",1003,65,666
   296 г
 Ужин,238,"3,71","0,62","20,6","2,48","1,02","27,74",115,60,255
  Natura Mayonesa,19,"1,85","0,2","0,45",0,0,0,50,2,
   1/2 x 1 cucharada de sopa (6 г)
  Куриное Филе,110,"1,24","0,33",0,0,0,"23,09",65,58,255
   100 г
  La Molisana Penne Rigate N20 Le Integrali,109,"0,62","0,09","20,15","2,48","1,02","4,65",,,
   31 г
 Перекус/Другое,162,0,0,38,,,"2,4",,,
  Billiken Gomitas Yummy,162,0,0,38,,,"2,4",,,
   2 x 1 porción (60 г)

Всего,1654,"46,86","22,883","204,15","14,68","47,28","105,93",1990,159,1858
